MAE,MAPE,RMSE
0.061204648,0.06315451,0.088152458
0.059377364,0.061476105,0.092092479
0.05585319,0.066119222,0.077465838
0.06080196,0.061189872,0.087430654
0.061071734,0.056898204,0.088061994
